Provincia;Identificador_Canton;Identificador_Parroquia;Zona;Sector;Numero_vivienda;Numero_hogar;Numero_persona_emigrante;Año_salida;Sexo_emigrante;Edad_salida;pais_actual_residencia;Area_urbana_o_rural;CANTON;PARROQ;ID_VIV;ID_HOG;ID_EMI
"Azuay";1;62;999;33;1;1;1;2021;"Hombre";21;881840;"Area rural";"Cuenca";"Ricaurte";101629990330001;10162999033000101;1016299903300010101
"Azuay";1;62;999;33;44;1;1;2021;"Mujer";31;881840;"Area rural";"Cuenca";"Ricaurte";101629990330044;10162999033004401;1016299903300440101
"Azuay";1;62;999;34;35;1;1;2021;"Hombre";32;881840;"Area rural";"Cuenca";"Ricaurte";101629990340035;10162999034003501;1016299903400350101
"Azuay";1;62;999;35;21;1;1;2021;"Mujer";35;881840;"Area rural";"Cuenca";"Ricaurte";101629990350021;10162999035002101;1016299903500210101
"Azuay";1;62;999;36;38;1;1;2021;"Hombre";36;881840;"Area rural";"Cuenca";"Ricaurte";101629990360038;10162999036003801;1016299903600380101
"Azuay";1;62;999;39;16;1;1;2021;"Hombre";43;881840;"Area rural";"Cuenca";"Ricaurte";101629990390016;10162999039001601;1016299903900160101
"Azuay";1;62;999;39;49;1;1;2021;"Hombre";23;881840;"Area rural";"Cuenca";"Ricaurte";101629990390049;10162999039004901;1016299903900490101
"Azuay";1;62;999;39;54;1;1;2021;"Hombre";38;881840;"Area rural";"Cuenca";"Ricaurte";101629990390054;10162999039005401;1016299903900540101
"Azuay";1;62;999;40;4;1;1;2021;"Hombre";42;881840;"Area rural";"Cuenca";"Ricaurte";101629990400004;10162999040000401;1016299904000040101
"Azuay";1;62;999;41;95;1;1;2021;"Hombre";25;881840;"Area rural";"Cuenca";"Ricaurte";101629990410095;10162999041009501;1016299904100950101
"Azuay";1;62;999;43;7;1;1;2021;"Mujer";999;881840;"Area rural";"Cuenca";"Ricaurte";101629990430007;10162999043000701;1016299904300070101
"Azuay";1;62;999;43;38;1;1;2021;"Mujer";34;881840;"Area rural";"Cuenca";"Ricaurte";101629990430038;10162999043003801;1016299904300380101
"Azuay";1;62;999;43;41;1;1;2021;"Hombre";25;881840;"Area rural";"Cuenca";"Ricaurte";101629990430041;10162999043004101;1016299904300410101
"Azuay";1;62;999;44;7;1;1;2021;"Mujer";42;881840;"Area rural";"Cuenca";"Ricaurte";101629990440007;10162999044000701;1016299904400070101
"Azuay";1;62;999;44;31;1;1;2021;"Mujer";26;881840;"Area rural";"Cuenca";"Ricaurte";101629990440031;10162999044003101;1016299904400310101
"Azuay";1;62;999;44;84;1;1;2021;"Mujer";36;881840;"Area rural";"Cuenca";"Ricaurte";101629990440084;10162999044008401;1016299904400840101
"Azuay";1;62;999;45;29;1;1;2021;"Hombre";42;881840;"Area rural";"Cuenca";"Ricaurte";101629990450029;10162999045002901;1016299904500290101
"Azuay";1;62;999;46;55;1;1;2021;"Hombre";24;881840;"Area rural";"Cuenca";"Ricaurte";101629990460055;10162999046005501;1016299904600550101
"Azuay";1;62;999;46;101;1;1;2021;"Hombre";21;881840;"Area rural";"Cuenca";"Ricaurte";101629990460101;10162999046010101;1016299904601010101
